Origin,Destination,Passengers,Airtime
ATL,IAD,4366,3530
ORD,TPA,12292,11294
SEA,DEN,12321,11330
IAD,AUS,2294,4852
PDX,EWR,5891,12943
EWR,BNA,4438,5847
IAH,BWI,7514,7443
PHL,IAH,6186,11461
BOS,IAD,12625,7202
IAH,CHS,231,208
ORD,IAH,32378,34182
BWI,IAH,7558,10329
IAD,RDU,5366,2550
EUG,DEN,234,251
BWI,ORD,12272,8696
SFO,LAX,34727,15350
IAD,SMF,2182,5638
DCA,IAH,8429,15024
SFO,IAD,27659,46968
LAS,IAD,8680,13131
TPA,ORD,12308,12629
IAH,MCI,3151,2427
LAS,IAH,25222,23804
PIT,SFO,2752,8735
LAX,PSP,246,67
SFO,PIT,2782,6901
MIA,IAD,3840,3284
DEN,JAX,3508,4964
OMA,IAH,3482,3121
ORD,GEG,2652,5878
LAX,AUS,254,849
LAX,OGG,7607,20405
MSP,IAH,2043,2596
SFO,CVG,1608,5799
IAD,DEN,20659,27108
ORD,BNA,3565,2350
LAX,HNL,16717,32848
SFO,MIA,4263,7964
BZN,EWR,2742,6063
DEN,SEA,12922,13040
IAD,SFO,27150,61973
LGA,IAH,14074,31259
IAD,SEA,6514,15597
IAH,HDN,2845,4140
MSP,SFO,278,476
PSP,ORD,4142,7005
BUF,ORD,281,156
MCO,IAH,28308,22819
GEG,ORD,3597,4945
IAH,SLC,10792,14115
SFO,SMF,979,279
ORD,SYR,2764,2038
MCO,SFO,10222,18781
ORD,FLL,13993,13943
DEN,MSO,3972,4329
MIA,ORD,7947,9402
DEN,PHX,18780,12034
IAD,SJU,5156,6239
EWR,PDX,5571,16880
JAC,DEN,6179,3397
IAH,LGA,14970,24106
IAH,MSP,2277,2227
DEN,MIA,3922,5481
DSM,ORD,5873,2508
HDN,IAH,2768,3691
DTW,SFO,2150,8430
MSO,DEN,4214,3718
MSY,ORD,9628,10014
LAX,MCO,7620,11627
CHS,IAH,320,281
IAH,BOS,11624,15288
ORD,SJU,5951,8750
RDU,DEN,7262,11966
DEN,SAT,4778,4547
ORD,SLC,6363,8809
ORD,MIA,8187,8657
SJU,ORD,6189,10079
MIA,DEN,4410,6644
SJU,IAD,5080,6695
SFO,MSY,3040,5968
GUC,IAH,334,453
SFO,RDU,5093,12520
SLC,ORD,6244,6856
IAH,GUC,337,581
PHL,ORD,12487,13546
CLE,MCO,4463,3402
EUG,SFO,3641,2780
